Item,Tweets
1,"""I could do a whole talk on the question of 'Is #AI dangerous?' My response is that AI is not going to exterminate us. It's a tool that's going to empower us. @etzioni #ArtificialIntelligence #MachineLearning"""
2,"""Is #Ai dangerous / hazardous? #usfbaforum Yes. Always ask why first before applying. Mental Model: Ai is like Chess - self learning on raw data, no Feature Sets. Chess itself is not dangerous; features of Chess are. - Hsinchun Chen Arizona U #Ai"""
3,"""What makes AI dangerous is people's need to push it beyond its limits just to have it live up to its surreal expectations. That, and being the best bandwagon for self-realization of how smart you are."""
4,"""This fact makes AI dangerous. It is just like some kids who learn wrong things in life and become dangerous to society. Since AI of future will have more intelligence than an average human, a rogue AI machine may be able to destroy a human race."""
5,"""#AI - dangerous or just misunderstood? Where would we be without our robot companions? Machine Humanity - #ITSM18 Track 2 Session Tuesday, 20th 10AM."""
6,"""Told you AI was dangerous!! """
7,"""Deepfakes, new technology which can fake speech delivery by using AI. Dangerous for Indians, where we already have enough break/ divide India scoundrels. All need to be aware & believe only after counter checking. Counter offensive once fake established. All unite"""
8,"""How is computer AI dangerous? Just walk away from the screen just look away"""
9,"""Is one of the things that makes AI dangerous that it wouldnít be able to logically sustain some of humanityís spectacular hypocrisies?"""
10,"""I'm not expert in #Ai knowledge.perhaps , humanoid #Ai dangerous than mechanical usage #Ai  
@OpenAI
 .I don't think,am right or wrong."""
11,"""Is AI dangerous? ... well, electricity is but it is also damn useful! #jamescook #ibm #lt18uk"""
12,"""what the fuck: Two out of three consumers don't realize they're using AI #dangerous"""
13,"""the only way to create safe superhumanly intelligent AI is to not create superhumanly intelligent AI. dangerous superhuman AI is a tautology"""
14,"""Is Ai dangerous? Go look in the mirror and tell us if Ai is dangerous. Extraterrestrial alienHeavy check mark"""
15,"""I've heard the experts. What do you think? Is AI dangerous?
Yes
 25%
No
 12.5%
Just needs an off switch.
 62.5%
Have no idea.
 0%"""
16,"""Could human beings make AI dangerous. For fucks sake we have found ways to make eating chicken dangerous."""
17,"""The voices that say #AI is a threat are the same ones that will make AI dangerous in the future."""
18,"""Don't trust algorithms, complex algorithms make decisions that affect nearly every aspect of our lives, Harvard reports hence AI dangerous!"""
19,"""Kinda want climate change to make the planet inhabitable before were even close to making AI dangerous just to prove them wrong."""
