School,Common Name,Team,City,State,Type
Abilene Christian University,Abilene Christian,Wildcats,Abilene,Texas,Private/Churches of Christ
University of Akron,Akron,Zips,Akron,Ohio,State
University of Alabama,Alabama,Crimson Tide,Tuscaloosa,Alabama,State
Alabama Agricultural and Mechanical University,Alabama A&M,Bulldogs and Lady Bulldogs,Huntsville,Alabama,State
University of Alabama at Birmingham,UAB,Blazers,Birmingham,Alabama,State
Alabama State University,Alabama State,Hornets and Lady Hornets,Montgomery,Alabama,State
"University at Albany, SUNY",Albany,Great Danes,Albany,New York,State
Alcorn State University,Alcorn State,Braves and Lady Braves,Lorman,Mississippi,State
American University,American,Eagles,Washington,District of Columbia,Private/Methodist
Appalachian State University,Appalachian State,Mountaineers,Boone,North Carolina,State
University of Arizona,Arizona,Wildcats,Tucson,Arizona,State
Arizona State University,Arizona State,Sun Devils,Tempe,Arizona,State
University of Arkansas,Arkansas,Razorbacks and Razorback women,Fayetteville,Arkansas,State
University of Arkansas at Little Rock,Little Rock,Trojans,Little Rock,Arkansas,State
University of Arkansas at Pine Bluff,Arkansas–Pine Bluff,Golden Lions and Golden Lady Lions,Pine Bluff,Arkansas,State
Arkansas State University,Arkansas State,Red Wolves,Jonesboro,Arkansas,State
Auburn University,Auburn,Tigers,Auburn,Alabama,State
Austin Peay State University,Austin Peay,Governors and Lady Govs,Clarksville,Tennessee,State
Ball State University,Ball State,Cardinals,Muncie,Indiana,State
Baylor University,Baylor,Bears and Lady Bears,Waco,Texas,Private/Baptist
Belmont University,Belmont,Bruins,Nashville,Tennessee,Private/Christian
Bethune-Cookman University,Bethune–Cookman,Wildcats,Daytona Beach,Florida,Private/Methodist
Binghamton University,Binghamton,Bearcats,Vestal,New York,State
Boise State University,Boise State,Broncos,Boise,Idaho,State
Boston College,Boston College,Eagles,Chestnut Hill,Massachusetts,Private/Catholic
Boston University,Boston University,Terriers,Boston,Massachusetts,Private/Non-sectarian
Bowling Green State University,Bowling Green,Falcons,Bowling Green,Ohio,State
Bradley University,Bradley,Braves,Peoria,Illinois,Private/Non-Sectarian
Brigham Young University,BYU,Cougars,Provo,Utah,Private/Latter-Day Saints
Brown University,Brown,Bears,Providence,Rhode Island,Private/Non-Sectarian
Bryant University,Bryant,Bulldogs,Smithfield,Rhode Island,Private/Non-Sectarian
Bucknell University,Bucknell,Bison,Lewisburg,Pennsylvania,Private/Non-Sectarian
University at Buffalo,Buffalo,Bulls,Buffalo,New York,State
Butler University,Butler,Bulldogs,Indianapolis,Indiana,Private/Non-Sectarian
"University of California, Berkeley",California,Golden Bears,Berkeley,California,State
"University of California, Davis",UC Davis,Aggies,Davis,California,State
"University of California, Irvine",UC Irvine,Anteaters,Irvine,California,State
"University of California, Los Angeles",UCLA,Bruins,Los Angeles,California,State
California Polytechnic State University,Cal Poly,Mustangs,San Luis Obispo,California,State
"University of California, Riverside",UC Riverside,Highlanders,Riverside,California,State
"University of California, Santa Barbara",UC Santa Barbara,Gauchos,Santa Barbara,California,State
"California State University, Bakersfield",Cal State Bakersfield,Roadrunners,Bakersfield,California,State
"California State University, Fresno",Fresno State,Bulldogs,Fresno,California,State
"California State University, Fullerton",Cal State Fullerton,Titans,Fullerton,California,State
"California State University, Long Beach",Long Beach State,49ers,Long Beach,California,State
"California State University, Northridge",Cal State Northridge,Matadors,Northridge,California,State
"California State University, Sacramento",Sacramento State,Hornets,Sacramento,California,State
Campbell University,Campbell,Fighting Camels and Lady Camels,Buies Creek,North Carolina,Private/Baptist
Canisius College,Canisius,Golden Griffins,Buffalo,New York,Private/Catholic
University of Central Arkansas,Central Arkansas,Bears and Sugar Bears,Conway,Arkansas,State
Central Connecticut State University,Central Connecticut,Blue Devils,New Britain,Connecticut,State
University of Central Florida,UCF,Knights,Orlando,Florida,State
Central Michigan University,Central Michigan,Chippewas,Mount Pleasant,Michigan,State
College of Charleston,College of Charleston,Cougars,Charleston,South Carolina,State
Charleston Southern University,Charleston Southern,Buccaneers,North Charleston,South Carolina,Private/Baptist
Chicago State University,Chicago State,Cougars,Chicago,Illinois,State
University of Cincinnati,Cincinnati,Bearcats,Cincinnati,Ohio,State
The Citadel,The Citadel,Bulldogs,Charleston,South Carolina,State
Clemson University,Clemson,Tigers,Clemson,South Carolina,State
Cleveland State University,Cleveland State,Vikings,Cleveland,Ohio,State
Coastal Carolina University,Coastal Carolina,Chanticleers,Conway,South Carolina,State
Colgate University,Colgate,Raiders,Hamilton,New York,Private/Non-sectarian
University of Colorado Boulder,Colorado,Buffaloes,Boulder,Colorado,State
Colorado State University,Colorado State,Rams,Fort Collins,Colorado,State
Columbia University,Columbia,Lions,Manhattan,New York,Private/Non-sectarian
University of Connecticut,UConn,Huskies,Storrs,Connecticut,State
Coppin State University,Coppin State,Eagles,Baltimore,Maryland,State
Cornell University,Cornell,Big Red,Ithaca,New York,Private/Statutory state
Creighton University,Creighton,Bluejays,Omaha,Nebraska,Private/Catholic
Dartmouth College,Dartmouth,Big Green,Hanover,New Hampshire,Private/Non-sectarian
Davidson College,Davidson,Wildcats,Davidson,North Carolina,Private/Presbyterian
University of Dayton,Dayton,Flyers,Dayton,Ohio,Private/Catholic
University of Delaware,Delaware,Fightin' Blue Hens,Newark,Delaware,Private-state hybrid
Delaware State University,Delaware State,Hornets and Lady Hornets,Dover,Delaware,State
University of Denver,Denver,Pioneers,Denver,Colorado,Private/Non-sectarian
DePaul University,DePaul,Blue Demons,Chicago,Illinois,Private/Catholic
University of Detroit Mercy,Detroit,Titans,Detroit,Michigan,Private/Catholic
Drake University,Drake,Bulldogs,Des Moines,Iowa,Private/Non-sectarian
Drexel University,Drexel,Dragons,Philadelphia,Pennsylvania,Private/Non-sectarian
Duke University,Duke,Blue Devils,Durham,North Carolina,Private/Non-sectarian
Duquesne University,Duequesne,Dukes,Pittsburgh,Pennsylvania,Private/Catholic
East Carolina University,East Carolina,Pirates and Lady Pirates,Greenville,North Carolina,State
East Tennessee State University,East Tennessee State,Buccaneers and Lady Buccaneers,Johnson City,Tennessee,State
Eastern Illinois University,Eastern Illinois,Panthers,Charleston,Illinois,State
Eastern Kentucky University,Eastern Kentucky,Colonels,Richmond,Kentucky,State
Eastern Michigan University,Eastern Michigan,Eagles,Ypsilanti,Michigan,State
Eastern Washington University,Eastern Washington,Eagles,Cheney,Washington,State
Elon University,Elon,Phoenix,Elon,North Carolina,Private/Non-sectarian
University of Evansville,Evansville,Purple Aces,Evansville,Indiana,Private/Methodist
Fairfield University,Fairfield,Stags,Fairfield,Connecticut,Private/Catholic
Fairleigh Dickinson University,Fairleigh Dickinson,Knights,Hackensack,New Jersey,Private/Non-sectarian
University of Florida,Florida,Gators,Gainesville,Florida,State
Florida A&M University,Florida A&M,Rattlers and Lady Rattlers,Tallahassee,Florida,State
Florida Atlantic University,Florida Atlantic,Owls,Boca Raton,Florida,State
Florida Gulf Coast University,FGCU,Eagles,Fort Myers,Florida,State
Florida International University,FIU,Panthers,Miami,Florida,State
Florida State University,Florida State,Seminoles,Tallahassee,Florida,State
Fordham University,Fordham,Rams,Bronx,New York,Private/Catholic
Furman University,Furman,Paladins and Lady Paladins,Greenville,South Carolina,Private/Non-sectarian
Gardner–Webb University,Gardner–Webb,Runnin' Bulldogs,Boiling Springs,North Carolina,Private/Baptist
George Mason University,George Mason,Patriots,Fairfax,Virginia,State
George Washington University,George Washington,Colonials,Washington,District of Columbia,Private/Non-sectarian
Georgetown University,Georgetown,Hoyas,Washington,District of Columbia,Private/Catholic
University of Georgia,Georgia,Bulldogs and Lady Bulldogs,Athens,Georgia,State
Georgia Institute of Technology,Georgia Tech,Yellow Jackets,Atlanta,Georgia,State
Georgia Southern University,Georgia Southern,Eagles and Lady Eagles,Statesboro,Georgia,State
Georgia State University,Georgia State,Panthers,Atlanta,Georgia,State
Gonzaga University,Gonzaga,Bulldogs,Spokane,Washington,Private/Catholic
Grambling State University,Grambling,Tigers and Lady Tigers,Grambling,Louisiana,State
Grand Canyon University,Grand Canyon,Antelopes,Phoenix,Arizona,Private/Christian
Hampton University,Hampton,Pirates and Lady Pirates,Hampton,Virginia,Private/Non-sectarian
University of Hartford,Hartford,Hawks,West Hartford,Connecticut,Private/Non-sectarian
Harvard University,Harvard,Crimson,Cambridge,Massachusetts,Private/Non-sectarian
University of Hawaii at Manoa,Hawaii,Rainbow Warriors and Rainbow Wahine,Honolulu,Hawaii,State
High Point University,High Point,Panthers,High Point,North Carolina,Private/Methodist
Hofstra University,Hofstra,Pride,Hempstead,New York,Private/Non-sectarian
College of the Holy Cross,Holy Cross,Crusaders,Worcester,Massachusetts,Private/Catholic
University of Houston,Houston,Cougars,Houston,Texas,State
Houston Baptist University,Houston Baptist,Huskies,Houston,Texas,Private/Baptist
Howard University,Howard,Bison and Lady Bison,Washington,District of Columbia,Private/Non-sectarian
