Stadium,City,State,Team,Conference,Capacity
Aggie Memorial Stadium,Las Cruces,NM,New Mexico State,Independent,30343
Alamodome,San Antonio,TX,UTSA,C-USA,65000
Alaska Airlines Field at Husky Stadium,Seattle,WA,Washington,Pac-12,70500
Albertsons Stadium,Boise,ID,Boise State,Mountain West,36387
Allen E. Paulson Stadium,Statesboro,GA,Georgia Southern,Sun Belt,25000
Aloha Stadium,Honolulu,HI,Hawaiʻi,Mountain West,50000
Alumni Stadium,Chestnut Hill,MA,Boston College,ACC,44500
Amon G. Carter Stadium,Fort Worth,TX,TCU,Big 12,45000
Apogee Stadium,Denton,TX,North Texas,C-USA,30850
Arizona Stadium,Tucson,AZ,Arizona,Pac-12,56029
Arthur L. Williams Stadium,Lynchburg,VA,Liberty,Independent (2018),25000
Autzen Stadium,Eugene,OR,Oregon,Pac-12,54000
Bagwell Field at Dowdy–Ficklen Stadium,Greenville,NC,East Carolina,American,50000
BB&T Field,Winston-Salem,NC,Wake Forest,ACC,31500
Beaver Stadium,University Park,PA,Penn State,Big Ten,106572
Benson Field at Yulman Stadium,New Orleans,LA,Tulane,American,30000
Bill Snyder Family Football Stadium,Manhattan,KS,Kansas State,Big 12,50000
Blaik Field at Michie Stadium,West Point,NY,Army,Independent,38000
Bobby Bowden Field at Doak S. Campbell Stadium,Tallahassee,FL,Florida State,ACC,79560
Bobby Dodd Stadium at Historic Grant Field,Atlanta,GA,Georgia Tech,ACC,55000
Boone Pickens Stadium,Stillwater,OK,Oklahoma State,Big 12,60218
Brigham Field at Huskie Stadium,DeKalb,IL,NIU,MAC,23595
Brooks Field at Wallace Wade Stadium,Durham,NC,Duke,ACC,40000
Brooks Stadium,Conway,SC,Coastal Carolina,Sun Belt,20000
Bryant–Denny Stadium,Tuscaloosa,AL,Alabama,SEC,101821
Bulldog Stadium at Jim Sweeney Field,Fresno,CA,Fresno State,Mountain West,41031
Cajun Field,Lafayette,LA,Louisiana,Sun Belt,41426
California Memorial Stadium,Berkeley,CA,California,Pac-12,62717
Camp Randall Stadium,Madison,WI,Wisconsin,Big Ten,80321
Capital One Field at Maryland Stadium,College Park,MD,Maryland,Big Ten,51802
Cardinal Stadium[36],Louisville,KY,Louisville,ACC,61000
"Carl Smith Center, Home of David A. Harrison III Field at Scott Stadium",Charlottesville,VA,Virginia,ACC,61500
Carlisle-Faulkner Field at M.M. Roberts Stadium,Hattiesburg,MS,Southern Miss,C-USA,36000
Carrier Dome,Syracuse,NY,Syracuse,ACC,49250
CEFCU Stadium,San Jose,CA,San Jose State,Mountain West,30456
