Cohort Year,School,Conference,Sport,State,GSR,FGR
2006,University of Akron,Mid-American Conference,Football,OH,58,52
2006,Alabama A&M University,Southwestern Athletic Conf.,Football,AL,40,45
2006,Alabama State University,Southwestern Athletic Conf.,Football,AL,81,59
2006,University of Alabama,Southeastern Conference,Football,AL,73,57
2006,University of Alabama at Birmingham,Conference USA,Football,AL,60,55
2006,University at Albany,Northeast Conference,Football,NY,74,57
2006,Alcorn State University,Southwestern Athletic Conf.,Football,MS,57,39
2006,Appalachian State University,Southern Conference,Football,NC,68,56
2006,Arizona State University,Pac-12 Conference,Football,AZ,67,52
2006,University of Arizona,Pac-12 Conference,Football,AZ,61,59
2006,Arkansas State University,Sun Belt Conference,Football,AR,68,60
2006,"University of Arkansas, Fayetteville",Southeastern Conference,Football,AR,54,39
2006,Auburn University,Southeastern Conference,Football,AL,70,61
2006,Austin Peay State University,Ohio Valley Conference,Football,TN,67,50
2006,Ball State University,Mid-American Conference,Football,IN,60,54
2006,Charleston Southern University,Big South Conference,Football,SC,66,51
2006,Baylor University,Big 12 Conference,Football,TX,67,48
2006,Bethune-Cookman University,Mid-Eastern Athletic Conf.,Football,FL,47,42
2006,Boise State University,Mountain West Conference,Football,ID,91,67
2006,Boston College,Atlantic Coast Conference,Football,MA,94,86
2006,Bowling Green State University,Mid-American Conference,Football,OH,70,55
2006,Brigham Young University,Independent,Football,UT,57,42
2006,Brown University,The Ivy League,Football,RI,98,
2006,Bryant University,Northeast Conference,Football,RI,75,55
2006,Bucknell University,Patriot League,Football,PA,97,90
2006,"University at Buffalo, the State University of New York",Mid-American Conference,Football,NY,59,58
2006,Butler University,Pioneer Football League,Football,IN,75,
2006,California Polytechnic State University,Big Sky Conference,Football,CA,82,77
2006,"California State University, Fresno",Mountain West Conference,Football,CA,70,76
2006,"California State University, Sacramento",Big Sky Conference,Football,CA,61,46
2006,"University of California, Berkeley",Pac-12 Conference,Football,CA,44,39
2006,"University of California, Davis",Big Sky Conference,Football,CA,77,62
2006,"University of California, Los Angeles",Pac-12 Conference,Football,CA,82,69
2006,Campbell University,Pioneer Football League,Football,NC,100,
2006,Central Connecticut State University,Northeast Conference,Football,CT,60,53
2006,University of Central Florida,Conference USA,Football,FL,83,58
2006,Central Michigan University,Mid-American Conference,Football,MI,51,37
2006,University of Cincinnati,American Athletic Conference,Football,OH,65,57
2006,The Citadel,Southern Conference,Football,SC,77,62
2006,Clemson University,Atlantic Coast Conference,Football,SC,77,59
2006,Coastal Carolina University,Big South Conference,Football,SC,66,57
2006,Colgate University,Patriot League,Football,NY,90,81
2006,Colorado State University,Mountain West Conference,Football,CO,78,68
2006,"University of Colorado, Boulder",Pac-12 Conference,Football,CO,70,58
2006,Columbia University-Barnard College,The Ivy League,Football,NY,96,
2006,University of Connecticut,American Athletic Conference,Football,CT,65,54
2006,Cornell University,The Ivy League,Football,NY,92,
2006,Dartmouth College,The Ivy League,Football,NH,97,
2006,Davidson College,Pioneer Football League,Football,NC,98,
2006,University of Dayton,Pioneer Football League,Football,OH,96,
2006,Delaware State University,Mid-Eastern Athletic Conf.,Football,DE,55,49
2006,University of Delaware,Colonial Athletic Association,Football,DE,66,69
2006,Drake University,Pioneer Football League,Football,IA,87,
2006,Duke University,Atlantic Coast Conference,Football,NC,90,81
2006,Duquesne University,Northeast Conference,Football,PA,84,
2006,East Carolina University,Conference USA,Football,NC,66,57
2006,Eastern Illinois University,Ohio Valley Conference,Football,IL,80,62
2006,Eastern Kentucky University,Ohio Valley Conference,Football,KY,68,65
2006,Eastern Michigan University,Mid-American Conference,Football,MI,59,43
2006,Eastern Washington University,Big Sky Conference,Football,WA,60,44
2006,Florida A&M University,Mid-Eastern Athletic Conf.,Football,FL,44,45
2006,Florida Atlantic University,Sun Belt Conference,Football,FL,54,49
2006,Florida International University,Sun Belt Conference,Football,FL,47,41
2006,Florida State University,Atlantic Coast Conference,Football,FL,58,47
2006,University of Florida,Southeastern Conference,Football,FL,77,49
2006,Fordham University,Patriot League,Football,NY,79,70
2006,Furman University,Southern Conference,Football,SC,95,87
2006,Georgetown University,Patriot League,Football,DC,82,79
2006,Georgia Southern University,Southern Conference,Football,GA,48,38
2006,Georgia Institute of Technology,Atlantic Coast Conference,Football,GA,63,53
2006,University of Georgia,Southeastern Conference,Football,GA,82,70
2006,Grambling State University,Southwestern Athletic Conf.,Football,LA,35,31
2006,Hampton University,Mid-Eastern Athletic Conf.,Football,VA,49,52
2006,Harvard University,The Ivy League,Football,MA,95,
2006,"University of Hawaii, Manoa",Mountain West Conference,Football,HI,59,49
2006,College of the Holy Cross,Patriot League,Football,MA,96,77
2006,University of Houston,Conference USA,Football,TX,57,53
2006,Howard University,Mid-Eastern Athletic Conf.,Football,DC,61,58
2006,Idaho State University,Big Sky Conference,Football,ID,41,23
2006,University of Idaho,Western Athletic Conference,Football,ID,59,44
2006,Illinois State University,Missouri Valley Football Conference,Football,IL,75,59
2006,University of Illinois Urbana-Champaign,Big Ten Conference,Football,IL,73,56
2006,Indiana State University,Missouri Valley Football Conference,Football,IN,57,55
2006,"Indiana University, Bloomington",Big Ten Conference,Football,IN,67,57
2006,Iowa State University,Big 12 Conference,Football,IA,60,48
2006,University of Iowa,Big Ten Conference,Football,IA,81,66
2006,Jackson State University,Southwestern Athletic Conf.,Football,MS,44,47
2006,Jacksonville State University,Ohio Valley Conference,Football,AL,59,46
2006,Jacksonville University,Pioneer Football League,Football,FL,64,
2006,James Madison University,Colonial Athletic Association,Football,VA,66,60
2006,Kansas State University,Big 12 Conference,Football,KS,59,53
2006,University of Kansas,Big 12 Conference,Football,KS,69,53
2006,Kent State University,Mid-American Conference,Football,OH,58,52
2006,University of Kentucky,Southeastern Conference,Football,KY,62,55
2006,Lafayette College,Patriot League,Football,PA,96,88
2006,Lehigh University,Patriot League,Football,PA,81,73
