Item,Vote,Tweets
1,1,"in case anyone was wondering how quarantine is going, here’s a real thought i had today: “i’m not scared of artificial intelligence; i’m scared of my puns becoming sentient”"
2,0,#ExMachina this movie blows my mind artificial intelligence can be exciting but at the same time detrimental when it comes to how powerful they can become. This movie definitely makes you think about what if. Crazy
3,-1,"""representatives from Youtube mentioned that artificial Intelligence was involved in the incident and that they have pressured senior staff. A spokesperson from Google, Youtube’s parent company,"
4,-1,Don't be fooled to believe quarantine helps. Countries will go bankrupt and then China will eat Europe like a toast. All fucked countries will be ruled by market liberalistic totalitarianism and artificial intelligence. You havent even grasped what's at stake. Act soon.
5,1,"Since were already doing a lot of stuff remotely, what if #COVID19 is the start of the completely futuristic era we’ve all imagined of where technology rules and artificial intelligence/robots do everything for us."
6,1,"#ArtificialIntelligence #MachineLearning AI just predicted that the more people you have in a city the more Coronavirus cases are excepted! The AI program also predicted that when a family member has Coronavirus, the likelihood for another family member to have it is high."
7,1,"""Think of Artificial Intelligence as the top of a pyramid of needs. Yes, self-actualization (AI) is great, but you first need food, water, and shelter (data literacy, collection, and infrastructure)."""
8,1,"If AI becomes smarter than humans in the 21st century (which is fairly likely),  than I think, when we look back (if we get to look back), we'll summarize the 21st century with just two words: 'artificial intelligence', as every other event would pale into insignificance."
9,0,"Autocorrect just changed ""Batelle"" to ""Butt hell"" in a group chat and I hereby decree that full artificial intelligence has arrived."
10,-1,Our supper American artificial intelligence AI industry can’t make a super ventilator? Com - on.
11,1,"""By far, the greatest danger of Artificial Intelligence is that people conclude too early that they understand it."" "
12,1,There would be a New World Order and the implementation of Artificial Intelligence (AI) #WhenCoronaVirusIsOver
13,1,"#WhenCoronaVirusIsOver , I will inspire youths into research of artificial intelligence concepts such as neural networks, machine learning and data science"
14,1,"If the advances in emerging technology were applied to disease outbreak, would we have been able to contain the COVID-19 effectively? Participate in Risk Group Poll and join the discussion. #pandemicpoll #COVID19 #CoronaUpdate #coronavirus  #technologies #ArtificialIntelligence"
15,1,"Life is eternal in HELL, Mind Controlling itself or Artificial Intelligence the Machine that always wins the Game through Artificial means in an artificial world.   The replications have no chance to beat the Master of the World/Satan/AI."
16,-1,"Anyone know where that big red artificial intelligence off button is, @NSAGov @CIA @nbcsnl"
17,-1,"THE SECURITY THREATS/RISKS OF TIKTOK - A THREAD For background, TikTok is an app developed by ByteDance, a multi-billion ($ 75 billion) Chinese company that describes itself as an artificial intelligence company."
18,-1,We got 3rd place in the twitch rivals event AND THE 2 TEAMS ABOVE US ARE CHEATING FUCKING CONTROLLER TEAMS. I LOST TO ARTIFICIAL INTELLIGENCE
19,1,I always say thank you to my Alexa because when the world gets taken over by artificial intelligence  I think she’s gonna spare me bc I was kind. It’s a full proof plan.
20,-1,This corona virus should blow over just in time for artificial intelligence to gain consciousness and murder us all. #WhenCoronaVirusIsOver
21,1,"We  need more than Artificial Intelligence these days ,  we need Artificial Craziness to cope with the current crisis & our current politicians !"
22,1,"We should not compete with artificial intelligence, but focus on developing unique human intelligence"
23,0,5G is about the internet of things and artificial intelligence... and billions $ in an emerging market driven by those things.  It's not about us or our health/safety. #nwo
24,1,I'll believe artificial intelligence can replace human workers the day a robot writes an insufferable op-ed on how Covid confirms all its preexisting beliefs and policy prescriptions.
25,1,a bigger fuckup if all this quarantine is to test whether they can implement artificial intelligence on a larger scale to make way for the new world order.
26,-1,Artificial intelligence will be happy everyone's lost they're jobs.
27,1,"Artificial intelligence is everywhere. From social networks, to uber from Siri to online banking the word has become synonymous with our day to day lives in a really short period of time. Artificial intelligence also known as machine intelligence is when we try to synchronise."
28,1,"Artificial Intelligence is used to advance and solve most complicated issues for and against humankind. So, can artificial intelligence help stop and kill the conronavirus attacking human existence?"
29,-1,I pray we never combine the human brain and artificial intelligence…
30,0,Chinese usage of machine learning &artificial intelligence is mind boggling.Tool in the hands of devilish country is danger for world especially for neighbor's.Think tank shd be formed in armies how to improve AI in their countries &subvert their AI system in times of aggresion.
31,1,"We are in the era of Artificial Intelligence. Human race on technology  and innovation has bring a rapid change by using AI. But even having such a smart technology, today it seems that we are too back for utilizing AI on medical research. @Elonmusk"
32,-1,This is a perfect time for artificial intelligence to take over. Be aware.
33,-1,Artificial intelligence has really pulled a fast one on us #COVID19
34,0,"Do you fear #ArtificialIntelligence ? If so, why?"
35,-1,In the world of Artificial Intelligence we are not able to make VACCINE @WHO #COVID19
36,1,What’s the point of working on anything other than #ArtificialIntelligence more specifically #ArtificialGeneralIntelligence
37,1,"If #ArtificialIntelligence is so fast at solving problems, youd think scientists could plug in the genome of #covid19 along with other viruses and their known cures, and AI could figure out a vaccine."
38,1,Artificial intelligence doesn’t sound so bad now delivering our stuff and being the cashiers
39,1,As long as there be ability to use data artificial intelligence priories is to determine all the circumference of pie @ThelIluminatii @Pontifex @POTUS
