Name,Type,Cat.,Power,Acc.,PP,TM,Effect,Prob. (%)
"10,000,000 Volt Thunderbolt",Electric,,195,—,1,,Pikachu-exclusive Z-Move.,
Absorb,Grass,,20,100,25,,User recovers half the HP inflicted on opponent.,—
Accelerock,Rock,,40,100,20,,User attacks first.,
Acid,Poison,,40,100,30,,May lower opponent's Special Defense.,10
Acid Armor,Poison,,—,—,20,,Sharply raises user's Defense.,—
Acid Downpour,Poison,—,—,—,1,,Poison type Z-Move.,
Acid Spray,Poison,,40,100,20,,Sharply lowers opponent's Special Defense.,100
Acrobatics,Flying,,55,100,15,TM62,Stronger when the user does not have a held item.,—
Acupressure,Normal,,—,—,30,,Sharply raises a random stat.,—
Aerial Ace,Flying,,60,∞,20,TM40,Ignores Accuracy and Evasiveness.,—
Aeroblast,Flying,,100,95,5,,High critical hit ratio.,—
After You,Normal,,—,—,15,,Gives target priority in the next turn.,—
Agility,Psychic,,—,—,30,,Sharply raises user's Speed.,—
Air Cutter,Flying,,60,95,25,,High critical hit ratio.,—
Air Slash,Flying,,75,95,20,,May cause flinching.,30
All-Out Pummeling,Fighting,—,—,—,1,,Fighting type Z-Move.,
Ally Switch,Psychic,,—,—,15,,User switches with opposite teammate.,—
Amnesia,Psychic,,—,—,20,,Sharply raises user's Special Defense.,—
Anchor Shot,Steel,,80,100,20,,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.,
Ancient Power,Rock,,60,100,5,,May raise all user's stats at once.,10
Apple Acid,Grass,,80,100,10,,Lowers target's Special Defense.,
Aqua Jet,Water,,40,100,20,,User attacks first.,—
Aqua Ring,Water,,—,—,20,,Restores a little HP each turn.,—
Aqua Tail,Water,,90,90,10,,,—
Arm Thrust,Fighting,,15,100,20,,Hits 2-5 times in one turn.,—
Aromatherapy,Grass,,—,—,5,,Cures all status problems in your party.,—
Aromatic Mist,Fairy,,—,—,20,,Raises Special Defense of allies.,—
Assist,Normal,,—,—,20,,User performs a move known by its allies at random.,—
Assurance,Dark,,60,100,10,,Power doubles if opponent already took damage in the same turn.,—
Astonish,Ghost,,30,100,15,,May cause flinching.,30
Attack Order,Bug,,90,100,15,,High critical hit ratio.,—
Attract,Normal,,—,100,15,TM45,"If opponent is the opposite gender, it's less likely to attack.",—
Aura Sphere,Fighting,,80,∞,20,,Ignores Accuracy and Evasiveness.,—
Aura Wheel,Electric,,110,100,10,,Changes type based on Morpeko's Mode.,
Aurora Beam,Ice,,65,100,20,,May lower opponent's Attack.,10
Aurora Veil,Ice,,—,—,20,TM70,Halves damage from Physical and Special attacks for five turns.,
Autotomize,Steel,,—,—,15,,Reduces weight and sharply raises Speed.,—
Avalanche,Ice,,60,100,10,,Power doubles if user took damage first.,—
Baby-Doll Eyes,Fairy,,—,100,30,,Always goes first. Lowers the target's attack.,—
Baddy Bad,Dark,,90,100,15,,Reduces damage from Physical attacks.,
Baneful Bunker,Poison,,—,—,10,,Protects the user and poisons opponent on contact.,
Barrage,Normal,,15,85,20,,Hits 2-5 times in one turn.,—
Barrier,Psychic,,—,—,20,,Sharply raises user's Defense.,—
Baton Pass,Normal,,—,—,40,,User switches out and gives stat changes to the incoming Pokémon.,—
Beak Blast,Flying,,100,100,15,,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn.",
Beat Up,Dark,,—,100,30,,Each Pokémon in your party attacks.,—
Behemoth Bash,Steel,,100,100,5,,Damage doubles if user is Dynamaxed.,
Behemoth Blade,Steel,,100,100,5,,Damage doubles if user is Dynamaxed.,
Belch,Poison,,120,90,10,,User must have consumed a Berry.,—
Belly Drum,Normal,,—,—,10,,"User loses 50% of its max HP, but Attack raises to maximum.",—
Bestow,Normal,,—,—,15,,Gives the user's held item to the target.,—
Bide,Normal,,—,—,10,,User takes damage for two turns then strikes back double.,—
Bind,Normal,,15,85,20,,"Traps opponent, damaging them for 4-5 turns.",—
Bite,Dark,,60,100,25,,May cause flinching.,30
Black Hole Eclipse,Dark,—,—,—,1,,Dark type Z-Move.,
Blast Burn,Fire,,150,90,5,,User must recharge next turn.,—
Blaze Kick,Fire,,85,90,10,,High critical hit ratio. May burn opponent.,10
Blizzard,Ice,,110,70,5,TM14,May freeze opponent.,10
Block,Normal,,—,—,5,,Opponent cannot flee or switch.,—
Bloom Doom,Grass,—,—,—,1,,Grass type Z-Move.,
Blue Flare,Fire,,130,85,5,,May burn opponent.,20
Body Press,Fighting,,80,100,10,,"The higher the user's Defense, the stronger the attack.",
Body Slam,Normal,,85,100,15,,May paralyze opponent.,30
Bolt Beak,Electric,,85,100,10,,"If the user attacks before the target, the power of this move is doubled.",
Bolt Strike,Electric,,130,85,5,,May paralyze opponent.,20
Bone Club,Ground,,65,85,20,,May cause flinching.,10
Bone Rush,Ground,,25,90,10,,Hits 2-5 times in one turn.,—
Bonemerang,Ground,,50,90,10,,Hits twice in one turn.,—
Boomburst,Normal,,140,100,10,,Hits all adjacent Pokémon.,—
Bounce,Flying,,85,85,5,,"Springs up on first turn, attacks on second. May paralyze opponent.",30
Bouncy Bubble,Water,,90,100,15,,User recovers half the HP inflicted on opponent.,
Branch Poke,Grass,,40,100,40,,,
Brave Bird,Flying,,120,100,15,,User receives recoil damage.,—
Breaking Swipe,Dragon,,60,100,15,,Hits multiple opponents and lowers their attack.,
Breakneck Blitz,Normal,—,—,—,1,,Normal type Z-Move.,
Brick Break,Fighting,,75,100,15,TM31,Breaks through Reflect and Light Screen barriers.,—
Brine,Water,,65,100,10,,Power doubles if opponent's HP is less than 50%.,—
Brutal Swing,Dark,,60,100,20,TM59,The user swings its body around violently to inflict damage on everything in its vicinity.,
Bubble,Water,,40,100,30,,May lower opponent's Speed.,10
Bubble Beam,Water,,65,100,20,,May lower opponent's Speed.,10
Bug Bite,Bug,,60,100,20,,Receives the effect from the opponent's held berry.,—
Bug Buzz,Bug,,90,100,10,,May lower opponent's Special Defense.,10
Bulk Up,Fighting,,—,—,20,TM08,Raises user's Attack and Defense.,—
Bulldoze,Ground,,60,100,20,TM78,Lowers opponent's Speed.,100
Bullet Punch,Steel,,40,100,30,,User attacks first.,—
Bullet Seed,Grass,,25,100,30,,Hits 2-5 times in one turn.,—
Burn Up,Fire,,130,100,5,,"To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.",
Buzzy Buzz,Electric,,90,100,15,,Paralyzes the opponent.,100
Calm Mind,Psychic,,—,—,20,TM04,Raises user's Special Attack and Special Defense.,—
Camouflage,Normal,,—,—,20,,Changes user's type according to the location.,—
Captivate,Normal,,—,100,20,,Sharply lowers opponent's Special Attack if opposite gender.,—
Catastropika,Electric,,210,—,1,,Pikachu-exclusive Z-Move.,
Celebrate,Normal,,—,—,40,,The Pokémon congratulates you on your special day. No battle effect.,—
Charge,Electric,,—,—,20,,Raises user's Special Defense and next Electric move's power increases.,—
Charge Beam,Electric,,50,90,10,TM57,May raise user's Special Attack.,70
Charm,Fairy,,—,100,20,,Sharply lowers opponent's Attack.,—
Chatter,Flying,,65,100,20,,Confuses opponent.,100
Chip Away,Normal,,70,100,20,,Ignores opponent's stat changes.,—
Circle Throw,Fighting,,60,90,10,,"In battles, the opponent switches. In the wild, the Pokémon runs.",—
Clamp,Water,,35,85,10,,"Traps opponent, damaging them for 4-5 turns.",—
Clanging Scales,Dragon,,110,100,5,,Lowers user's Defense.,
Clangorous Soul,Dragon,,—,100,5,,Raises all user's stats but loses HP.,
Clangorous Soulblaze,Dragon,,185,—,1,,Kommo-o exclusive Z-Move.,
Clear Smog,Poison,,50,—,15,,Removes all of the target's stat changes.,—
Close Combat,Fighting,,120,100,5,,Lowers user's Defense and Special Defense.,—
Coil,Poison,,—,—,20,,"Raises user's Attack, Defense and Accuracy.",—
Comet Punch,Normal,,18,85,15,,Hits 2-5 times in one turn.,—
Confide,Normal,,—,—,20,TM100,Lowers opponent's Special Attack.,—
Confuse Ray,Ghost,,—,100,10,,Confuses opponent.,—
Confusion,Psychic,,50,100,25,,May confuse opponent.,10
Constrict,Normal,,10,100,35,,May lower opponent's Speed by one stage.,10
Continental Crush,Rock,—,—,—,1,,Rock type Z-Move.,
Conversion,Normal,,—,—,30,,Changes user's type to that of its first move.,—
Conversion 2,Normal,,—,—,30,,User changes type to become resistant to opponent's last move.,—
Copycat,Normal,,—,—,20,,Copies opponent's last move.,—
Core Enforcer,Dragon,,100,100,10,,Scorches a 'Z' pattern on the ground.,
Corkscrew Crash,Steel,—,—,—,1,,Steel type Z-Move.,
Cosmic Power,Psychic,,—,—,20,,Raises user's Defense and Special Defense.,—
Cotton Guard,Grass,,—,—,10,,Drastically raises user's Defense.,—
Cotton Spore,Grass,,—,100,40,,Sharply lowers opponent's Speed.,—
Counter,Fighting,,—,100,20,,"When hit by a Physical Attack, user strikes back with 2x power.",—
Court Change,Normal,,—,100,10,,Swaps the effects on either side of the field.,
Covet,Normal,,60,100,25,,Opponent's item is stolen by the user.,—
Crabhammer,Water,,100,90,10,,High critical hit ratio.,—
Crafty Shield,Fairy,,—,—,10,,Protects the Pokémon from status moves.,—
Cross Chop,Fighting,,100,80,5,,High critical hit ratio.,—
Cross Poison,Poison,,70,100,20,,High critical hit ratio. May poison opponent.,10
Crunch,Dark,,80,100,15,,May lower opponent's Defense.,20
Crush Claw,Normal,,75,95,10,,May lower opponent's Defense.,50
Crush Grip,Normal,,—,100,5,,More powerful when opponent has higher HP.,—
Curse,Ghost,,—,—,10,,"Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed.",—
Cut,Normal,,50,95,30,,,—
Dark Pulse,Dark,,80,100,15,TM97,May cause flinching.,20
Dark Void,Dark,,—,50,10,,Puts all adjacent opponents to sleep.,—
Darkest Lariat,Dark,,85,100,10,,Ignores opponent's stat changes.,
Dazzling Gleam,Fairy,,80,100,10,TM99,Hits all adjacent opponents.,—
Decorate,Fairy,,—,—,15,,Sharply raises target's Attack and Special Attack.,
Defend Order,Bug,,—,—,10,,Raises user's Defense and Special Defense.,—
Defense Curl,Normal,,—,—,40,,Raises user's Defense.,—
Defog,Flying,,—,—,15,,Lowers opponent's Evasiveness and clears fog.,—
Destiny Bond,Ghost,,—,—,5,,"If the user faints, the opponent also faints.",—
Detect,Fighting,,—,—,5,,"Protects the user, but may fail if used consecutively.",—
Devastating Drake,Dragon,—,—,—,1,,Dragon type Z-Move.,
Diamond Storm,Rock,,100,95,5,,May raise user's Defense,50
Dig,Ground,,80,100,10,,"Digs underground on first turn, attacks on second. Can also escape from caves.",—
Disable,Normal,,—,100,20,,Opponent can't use its last attack for a few turns.,—
Disarming Voice,Fairy,,40,∞,15,,Ignores Accuracy and Evasiveness.,—
Discharge,Electric,,80,100,15,,May paralyze opponent.,30
Dive,Water,,80,100,10,,"Dives underwater on first turn, attacks on second turn.",—
Dizzy Punch,Normal,,70,100,10,,May confuse opponent.,20
Doom Desire,Steel,,140,100,5,,Damage occurs 2 turns later.,—
Double Hit,Normal,,35,90,10,,Hits twice in one turn.,—
Double Iron Bash,Steel,,60,100,5,,Hits twice in one turn; may cause flinching.,30
Double Kick,Fighting,,30,100,30,,Hits twice in one turn.,—
Double Slap,Normal,,15,85,10,,Hits 2-5 times in one turn.,—
Double Team,Normal,,—,—,15,TM32,Raises user's Evasiveness.,—
Double-Edge,Normal,,120,100,15,,User receives recoil damage.,—
Draco Meteor,Dragon,,130,90,5,,Sharply lowers user's Special Attack.,—
Dragon Ascent,Flying,,120,100,5,,Lowers user's Defense and Special Defense.,—
