SCHOOL,Conference_W,Conference_L,Overall_W,Overall_L,PF,PA,Streak
Clemson,8,0,14,1,659,203,Lost 1
Louisville,5,3,8,5,430,434,Won 1
Wake Forest,4,4,8,5,414,378,Lost 2
Boston College,4,4,6,7,377,418,Lost 1
Florida State,4,4,6,7,363,362,Lost 2
Syracuse,2,6,5,7,339,368,Won 1
NC State,1,7,4,8,265,361,Lost 6
Virginia,6,2,9,5,449,380,Lost 2
Virginia Tech,5,3,8,5,401,321,Lost 2
Pittsburgh,4,4,8,5,275,292,Won 1
North Carolina,4,4,7,6,430,308,Won 3
Miami (FL),4,4,6,7,334,263,Lost 3
Duke,3,5,5,7,303,350,Won 1
Georgia Tech,2,6,3,9,200,389,Lost 1
Memphis,7,1,12,2,566,370,Lost 1
Navy,7,1,11,2,483,290,Won 4
SMU,6,2,10,3,544,434,Lost 1
Tulane,3,5,7,6,430,342,Won 1
Houston,2,6,4,8,368,408,Lost 1
Tulsa,2,6,4,8,317,376,Won 1
Cincinnati,7,1,11,3,415,288,Won 1
UCF,6,2,10,3,564,299,Won 3
Temple,5,3,8,5,342,337,Lost 1
South Florida,2,6,4,8,250,347,Lost 4
East Carolina,1,7,4,8,321,404,Lost 1
UConn,0,8,2,10,227,486,Lost 4
Oklahoma,8,1,12,2,590,382,Lost 1
Baylor,8,1,11,3,471,277,Lost 2
Kansas State,5,4,8,5,385,278,Lost 1
Oklahoma State,5,4,8,5,422,348,Lost 2
Texas,5,4,8,5,458,357,Won 2
Iowa State,5,4,7,6,418,337,Lost 2
TCU,3,6,5,7,364,317,Lost 2
West Virginia,3,6,5,7,247,346,Won 1
Texas Tech,2,7,4,8,366,364,Lost 3
Kansas,1,8,3,9,282,433,Lost 4
Ohio State,9,0,13,1,656,192,Lost 1
Penn State,7,2,11,2,465,208,Won 2
Michigan,6,3,9,4,412,269,Lost 2
Indiana,5,4,8,5,413,317,Lost 1
Michigan State,4,5,7,6,291,293,Won 3
Maryland,1,8,3,9,303,416,Lost 7
Rutgers,0,9,2,10,159,440,Lost 4
Minnesota,7,2,11,2,443,293,Won 1
Wisconsin,7,2,10,4,477,237,Lost 2
Iowa,6,3,10,3,335,182,Won 4
Illinois,4,5,6,7,347,340,Lost 3
Nebraska,3,6,5,7,336,333,Lost 1
Purdue,3,6,4,8,310,367,Lost 2
Northwestern,1,8,3,9,196,283,Won 1
Florida Atlantic,7,1,11,3,510,318,Won 7
Western Kentucky,6,2,9,4,330,261,Won 4
Marshall,6,2,8,5,335,325,Lost 1
Charlotte,5,3,7,6,388,421,Lost 1
FIU,3,5,6,7,344,354,Lost 2
Middle Tennessee,3,5,4,8,316,359,Lost 1
Old Dominion,0,8,1,11,195,358,Lost 11
Louisiana Tech,6,2,10,3,422,284,Won 2
UAB,6,2,9,5,324,302,Lost 2
Southern Miss,5,3,7,6,346,341,Lost 3
North Texas,3,5,4,8,367,390,Lost 3
UTSA,3,5,4,8,244,407,Lost 3
Rice,3,5,3,9,215,311,Won 3
UTEP,0,8,1,11,235,431,Lost 11
Notre Dame,0,0,11,2,478,233,Won 6
Liberty,0,0,8,5,427,365,Won 2
Brigham Young,0,0,7,6,370,331,Lost 2
Army,0,0,5,8,370,299,Lost 2
New Mexico State,0,0,2,10,260,492,Lost 1
UMass,0,0,1,11,237,632,Lost 7
Miami (OH),6,2,8,6,338,394,Lost 1
Buffalo,5,3,8,5,409,277,Won 3
